MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Origin,bore,stroke,compression-ratio
18.0,8,307.0,130,3504,12.0,US,3.47,2.68,9
16.0,8,304.0,150,3433,12.0,US,3.19,3.4,10
17.0,8,302.0,140,3449,10.5,US,3.19,3.4,8
14.0,8,454.0,220,4354,9.0,US,3.19,3.4,8.5
23.55142857142857,8,440.0,215,4312,8.5,US,3.19,3.4,8.5
14.0,8,455.0,225,4425,8.5,US,3.13,3.4,8.3
15.0,8,390.0,190,3850,8.5,US,3.13,3.4,7
15.0,8,383.0,170,3563,10.0,US,3.5,2.8,8.8
14.0,5,340.0,160,3609,8.0,US,3.5,2.8,8.8
23.55142857142857,8,400.0,150,3761,9.5,US,3.31,3.19,9
14.0,8,455.0,225,3086,10.0,US,3.31,3.19,9
24.0,4,113.0,95,2372,15.0,Japan,3.31,3.19,9
22.0,6,198.0,95,2833,15.5,US,3.62,3.39,8
18.0,6,199.0,97,2774,15.5,US,3.62,3.39,8
21.0,6,200.0,85,2587,16.0,US,3.62,3.39,8
27.0,4,97.0,88,2130,14.5,Japan,2.91,3.03,9.5
26.0,4,97.0,46,1835,15.5,Europe,3.03,3.11,9.6
23.55142857142857,4,110.0,87,2672,17.5,Europe,3.03,3.11,9.6
24.0,4,107.0,90,2430,14.5,Europe,2.97,3.23,9.41
25.0,5,104.0,95,2375,17.5,Europe,2.97,3.23,9.4
26.0,4,121.0,113,2234,12.5,Europe,3.03,3.39,7.6
21.0,6,199.0,90,2648,15.0,US,2.97,3.23,9.4
10.0,8,360.0,215,4615,14.0,US,2.97,3.23,9.4
10.0,8,307.0,200,4376,15.0,US,2.97,3.23,9.4
11.0,8,318.0,210,4382,15.0,US,3.03,3.39,7.6
9.0,8,304.0,193,4732,18.5,US,3.34,3.46,8.5
27.0,4,97.0,88,2130,14.5,Japan,3.6,3.9,7
23.55142857142857,4,140.0,90,2264,15.5,US,2.91,3.41,9.6
25.0,4,113.0,95,2228,14.0,Japan,2.91,3.41,9.2
19.0,5,232.0,100,2634,13.0,US,2.91,3.07,10.1
16.0,6,225.0,105,3439,13.0,US,2.91,3.41,9.2
17.0,6,250.0,100,3329,15.5,US,2.91,3.41,9.2
19.0,6,250.0,88,3302,15.5,US,2.91,3.41,9.2
18.0,6,232.0,100,3288,15.5,US,2.92,3.41,9.2
14.0,8,350.0,165,4209,12.0,US,3.15,3.58,9
14.0,8,400.0,175,4464,11.5,US,3.15,3.58,9
14.0,8,351.0,153,4154,13.5,US,3.15,3.58,9
23.55142857142857,8,318.0,150,4096,13.0,US,3.15,3.58,9
12.0,8,383.0,180,4955,11.5,US,3.15,3.58,9
13.0,5,400.0,170,4746,12.0,US,3.15,3.58,9.1
13.0,8,400.0,175,5140,12.0,US,3.31,3.23,8.5
18.0,6,258.0,110,2962,13.5,US,3.03,3.11,9.6
22.0,4,140.0,72,2408,19.0,US,3.03,3.11,9.6
19.0,6,250.0,100,3282,15.0,US,3.43,3.23,9.2
18.0,6,250.0,88,3139,14.5,US,3.63,4.17,8.1
23.0,4,122.0,86,2220,13.0,US,3.63,4.17,8.1
28.0,4,116.0,90,2123,14.0,Europe,3.54,2.76,11.5
23.55142857142857,4,79.0,70,2074,19.5,Europe,3.03,3.15,9
30.0,5,88.0,76,2065,14.5,Europe,3.03,3.15,9
31.0,4,71.0,65,1773,19.0,Japan,3.03,3.15,9
35.0,4,72.0,69,1613,18.0,Japan,3.03,3.15,9
27.0,4,97.0,60,1834,19.0,Europe,3.08,3.15,9
26.0,4,91.0,70,1955,20.5,US,3.08,3.15,9.4
24.0,4,113.0,95,2278,15.5,Japan,3.08,3.15,9.4
25.0,4,97.5,80,2126,17.0,US,3.08,3.15,9.4
23.0,5,97.0,54,2254,23.5,Europe,3.08,3.15,9.4
20.0,4,140.0,90,2408,19.5,US,3.39,3.39,8.6
21.0,4,122.0,86,2226,16.5,US,3.39,3.39,8.6
13.0,8,350.0,165,4274,12.0,US,3.39,3.39,8.6
14.0,8,400.0,175,4385,12.0,US,3.39,3.39,8.6
15.0,8,318.0,150,4135,13.5,US,3.39,3.39,22.7
14.0,8,351.0,153,4129,13.0,US,3.39,3.39,8.6
17.0,8,304.0,150,3672,11.5,US,3.76,3.16,8
11.0,8,429.0,208,4633,11.0,US,3.43,3.64,22
12.0,8,350.0,160,4456,13.5,US,3.58,3.64,21.5
13.0,5,400.0,190,4422,12.5,US,3.58,3.64,21.5
23.55142857142857,3,70.0,97,2330,13.5,Japan,3.58,3.64,21.5
15.0,8,304.0,150,3892,12.5,US,3.46,3.1,8.3
13.0,8,307.0,130,4098,14.0,US,3.46,3.1,8.3
13.0,8,302.0,140,4294,16.0,US,3.8,3.35,8
14.0,8,318.0,150,4077,14.0,US,3.8,3.35,8
18.0,4,121.0,112,2933,14.5,Europe,3.78,3.12,8
22.0,4,121.0,76,2511,18.0,Europe,2.97,3.23,9.4
21.0,4,120.0,87,2979,19.5,Europe,2.97,3.23,9.4
26.0,4,96.0,69,2189,18.0,Europe,2.97,3.23,9.4
22.0,4,122.0,86,2395,16.0,US,3.03,3.39,7.6
28.0,4,97.0,92,2288,17.0,Japan,3.17,3.46,7.5
23.55142857142857,4,120.0,97,2506,14.5,Japan,3.35,3.46,8.5
28.0,5,98.0,80,2164,15.0,US,3.58,3.86,7
27.0,4,97.0,88,2100,16.5,Japan,3.59,3.86,7
13.0,8,350.0,175,4100,13.0,US,3.59,3.86,7
14.0,8,304.0,150,3672,11.5,US,3.35,3.46,8.5
13.0,8,350.0,145,3988,13.0,US,3.35,3.46,8.5
14.0,8,302.0,137,4042,14.5,US,3.17,3.46,7.5
12.0,5,429.0,198,4952,11.5,US,3.15,3.29,9.4
13.0,8,400.0,150,4464,12.0,US,2.99,3.47,21.9
23.55142857142857,8,351.0,158,4363,13.0,US,3.15,3.29,9.4
14.0,8,318.0,150,4237,14.5,US,3.15,3.29,9.4
13.0,8,440.0,215,4735,11.0,US,3.15,3.29,9.4
12.0,8,455.0,225,4951,11.0,US,3.15,3.29,9.4
13.0,8,360.0,175,3821,11.0,US,3.15,3.29,9.4
18.0,6,225.0,105,3121,16.5,US,3.15,3.29,9.4
16.0,6,250.0,100,3278,18.0,US,3.15,3.29,9.4
18.0,6,232.0,100,2945,16.0,US,3.15,3.29,9.4
18.0,6,250.0,88,3021,16.5,US,3.33,3.47,8.5
26.0,4,97.0,46,1950,21.0,Europe,3.43,3.27,9
11.0,8,400.0,150,4997,14.0,US,3.43,3.27,9
12.0,8,400.0,167,4906,12.5,US,3.43,3.27,9
13.0,8,360.0,170,4654,13.0,US,3.43,3.27,9
12.0,8,350.0,180,4499,12.5,US,3.43,3.27,7.8
18.0,6,232.0,100,2789,15.0,US,3.43,3.27,9
20.0,4,97.0,88,2279,19.0,Japan,3.46,3.19,8.4
21.0,4,140.0,72,2401,19.5,US,3.7,3.52,21
22.0,4,108.0,94,2379,16.5,Japan,3.46,3.19,8.4
18.0,3,70.0,90,2124,13.5,Japan,3.7,3.52,21
21.0,6,155.0,107,2472,14.0,US,3.7,3.52,21
26.0,4,98.0,90,2265,15.5,Europe,3.46,2.19,8.4
15.0,8,350.0,145,4082,13.0,US,3.7,3.52,21
16.0,8,400.0,230,4278,9.5,US,3.46,3.19,8.4
29.0,4,68.0,49,1867,19.5,Europe,3.7,3.52,21
24.0,4,116.0,75,2158,15.5,Europe,3.61,3.21,7
20.0,4,114.0,91,2582,14.0,Europe,2.97,3.23,9.4
19.0,4,121.0,112,2868,15.5,Europe,3.03,3.39,7.6
15.0,8,318.0,150,3399,11.0,US,2.97,3.23,9.4
24.0,4,121.0,110,2660,14.0,Europe,2.97,3.23,9.4
20.0,6,156.0,122,2807,13.5,Japan,2.97,3.23,9.4
11.0,8,350.0,180,3664,11.0,US,3.35,3.46,8.5
20.0,6,198.0,95,3102,16.5,US,3.59,3.86,7
19.0,6,232.0,100,2901,16.0,US,3.94,3.11,9.5
15.0,6,250.0,100,3336,17.0,US,3.74,2.9,9.5
31.0,4,79.0,67,1950,19.0,Japan,3.74,2.9,9.5
26.0,4,122.0,80,2451,16.5,US,3.74,2.9,9.5
32.0,4,71.0,65,1836,21.0,Japan,3.94,3.11,10
25.0,4,140.0,75,2542,17.0,US,3.46,3.9,8.7
16.0,6,250.0,100,3781,17.0,US,3.46,3.9,8.7
16.0,6,258.0,110,3632,18.0,US,3.54,3.07,9.31
18.0,6,225.0,105,3613,16.5,US,3.54,3.07,9.3
16.0,8,302.0,140,4141,14.0,US,2.54,2.07,9.3
13.0,8,350.0,150,4699,14.5,US,3.54,3.07,9.3
14.0,8,318.0,150,4457,13.5,US,3.54,3.07,9
14.0,8,302.0,140,4638,16.0,US,3.54,3.07,9
14.0,8,304.0,150,4257,15.5,US,3.62,2.36,9
29.0,4,98.0,83,2219,16.5,Europe,3.62,2.64,8.7
26.0,4,79.0,67,1963,15.5,Europe,3.62,2.64,8.7
26.0,4,97.0,78,2300,14.5,Europe,3.62,2.64,9.5
31.0,4,76.0,52,1649,16.5,Japan,3.62,2.64,9.5
32.0,4,83.0,61,2003,19.0,Japan,3.62,2.64,9
28.0,4,90.0,75,2125,14.5,US,3.62,2.64,9
24.0,4,90.0,75,2108,15.5,Europe,3.62,2.64,7.7
26.0,4,116.0,75,2246,14.0,Europe,3.62,2.64,9
24.0,4,120.0,97,2489,15.0,Japan,3.62,2.64,9
26.0,4,108.0,93,2391,15.5,Japan,3.62,2.64,9
31.0,4,79.0,67,2000,16.0,Europe,3.62,2.64,7.7
19.0,6,225.0,95,3264,16.0,US,3.05,3.03,9
18.0,6,250.0,105,3459,16.0,US,3.05,3.03,9
15.0,6,250.0,72,3432,21.0,US,3.05,3.03,9
15.0,6,250.0,72,3158,19.5,US,3.05,3.03,9
16.0,8,400.0,170,4668,11.5,US,3.05,3.03,9
15.0,8,350.0,145,4440,14.0,US,3.05,3.03,9
16.0,8,318.0,150,4498,14.5,US,3.19,3.03,9
14.0,8,351.0,148,4657,13.5,US,3.19,3.03,9
17.0,6,231.0,110,3907,21.0,US,3.27,3.35,22.5
16.0,6,250.0,105,3897,18.5,US,3.27,3.35,22.5
15.0,6,258.0,110,3730,19.0,US,3.19,3.03,9
18.0,6,225.0,95,3785,19.0,US,3.19,3.03,9
21.0,6,231.0,110,3039,15.0,US,3.19,3.03,9
20.0,8,262.0,110,3221,13.5,US,3.19,3.03,9
13.0,8,302.0,129,3169,12.0,US,3.19,3.03,9
29.0,4,97.0,75,2171,16.0,Japan,3.24,3.08,9.4
23.0,4,140.0,83,2639,17.0,US,3.24,3.08,9.4
20.0,6,232.0,100,2914,16.0,US,3.62,3.5,9.3
23.0,4,140.0,78,2592,18.5,US,3.62,3.5,9.3
24.0,4,134.0,96,2702,13.5,Japan,3.62,3.5,9.3
25.0,4,90.0,71,2223,16.5,Europe,3.62,3.5,9.3
24.0,4,119.0,97,2545,17.0,Japan,3.62,3.5,9.3
18.0,6,171.0,97,2984,14.5,US,3.62,3.5,9.3
